Date,Time,Longitude,Latitude,Depth,Mtype,Mag
2021-07-19,01:33:26.006,-75.5106,19.7691,10.00,mb,4.20
2021-06-27,20:09:49.584,-76.2770,16.5489,10.00,ml,4.20
2021-06-24,04:56:47.740,-68.5683,18.2410,146.00,md,4.20
2021-06-17,09:23:42.710,-68.4885,18.1235,87.00,md,4.43
2021-06-14,10:15:43.030,-68.4960,18.1195,87.00,ml,5.00
2021-06-14,10:10:07.610,-68.5071,18.1925,86.00,md,4.09
2021-05-30,08:29:47.715,-77.9842,19.6178,10.00,mb,4.00
2021-05-16,12:14:51.533,-70.3234,18.8360,92.55,mb,4.40
2021-04-06,05:22:04.733,-73.5434,18.4369,10.00,mwr,4.20
2021-04-05,16:42:33.560,-68.9275,18.6228,117.00,md,4.02
2021-03-31,01:43:16.591,-69.0456,19.1729,7.95,mb,4.10
2021-03-14,21:56:23.306,-72.1205,17.9685,10.00,mb,4.30
2021-03-10,15:32:51.180,-68.8055,18.5146,114.00,md,4.12
2021-02-24,07:38:01.398,-73.6219,18.6909,10.00,mb,4.40
2021-02-24,07:37:09.707,-73.3856,18.5623,10.00,mb,4.20
2021-02-22,15:06:35.891,-71.0541,19.8403,10.00,mb,4.40
2021-02-03,16:03:23.790,-68.8785,19.0905,8.00,md,4.18
2021-01-12,19:16:27.853,-72.0398,16.5221,14.17,mb,4.40
