Date,Time,Longitude,Latitude,Depth,Mtype,Mag
2021-12-26,07:40:54.014,-75.5456,19.8693,21.68,mb,4.00
2021-12-21,14:53:35.007,-73.9762,18.5460,12.53,mb,4.40
2021-12-13,05:08:28.907,-73.5797,18.5487,10.00,mb,4.20
2021-11-22,07:42:47.936,-70.7475,19.6314,10.00,mwr,4.50
2021-11-12,07:42:47.594,-74.2883,18.3777,7.80,mwr,4.60
2021-10-24,04:59:17.276,-74.0476,18.7919,10.00,mb,4.10
2021-10-15,07:24:17.386,-74.1594,18.8347,10.00,mb,4.00
2021-10-14,03:12:56.650,-68.2210,18.3885,143.00,ml,4.45
2021-09-28,00:15:36.610,-69.3796,18.6991,104.21,mb,4.20
2021-09-26,06:19:58.580,-68.9135,18.5078,108.00,md,4.11
2021-09-20,00:57:10.620,-73.6182,18.4416,10.00,mb,4.30
2021-09-19,16:47:56.610,-68.7521,18.5528,129.00,md,4.25
2021-09-06,03:53:55.570,-68.7371,18.9366,10.00,md,4.03
2021-08-27,20:28:34.554,-74.1203,18.5019,14.19,mb,4.20
2021-08-25,10:51:34.482,-73.5491,18.4734,10.37,mb,4.10
2021-08-22,23:27:12.189,-73.6174,18.5759,10.00,mb,4.50
2021-08-21,18:47:31.607,-73.5504,18.4147,10.64,mb,4.40
2021-08-20,05:38:44.179,-73.3011,18.5255,10.00,mb,4.00
2021-08-19,03:57:36.718,-73.6010,18.4235,12.66,mwr,4.20
2021-08-18,16:47:53.279,-73.5103,18.3559,5.88,mwr,4.70
2021-08-17,04:57:31.522,-73.5537,18.4678,10.00,mb,4.10
2021-08-16,01:08:59.226,-74.1611,18.4445,10.00,mb,4.20
2021-08-15,22:48:43.224,-73.5273,18.5163,10.00,mb,4.40
2021-08-15,19:46:43.736,-73.5289,18.3654,10.00,mb,4.00
2021-08-15,16:05:05.851,-73.5597,18.5267,11.55,mb,4.00
2021-08-15,12:05:43.669,-73.7190,18.5351,10.00,mwr,4.80
2021-08-15,07:01:42.342,-73.6640,18.5116,12.65,mb,4.00
2021-08-15,04:00:02.207,-74.1180,18.4016,10.00,mb,4.10
2021-08-15,03:28:47.469,-73.9481,18.4348,10.00,mb,4.70
2021-08-15,03:27:31.211,-73.9525,18.4883,10.00,mb,4.40
2021-08-15,03:20:45.298,-74.0899,18.3977,8.32,mww,5.80
2021-08-15,02:37:53.592,-73.5740,18.6080,13.76,mww,5.10
2021-08-14,22:14:08.314,-74.0265,18.5268,16.09,mwr,4.50
2021-08-14,22:10:53.726,-74.0112,18.4332,10.00,mb,4.10
2021-08-14,18:11:10.433,-73.6203,18.5860,8.82,mwr,5.20
2021-08-14,17:05:19.011,-73.5972,18.4335,9.53,mwr,4.90
2021-08-14,16:44:20.618,-73.5948,18.4457,10.00,mb,4.30
2021-08-14,16:08:03.051,-73.7120,18.5031,10.00,mwr,4.70
2021-08-14,15:08:10.923,-73.6068,18.4358,10.00,mb,4.30
2021-08-14,14:57:34.309,-73.6521,18.4745,10.00,mb,4.70
2021-08-14,14:40:48.915,-73.6954,18.4801,10.00,mb,4.20
2021-08-14,14:28:50.707,-73.5688,18.5376,10.00,mb,4.80
2021-08-14,14:03:13.938,-73.5777,18.5089,10.00,mb,4.40
2021-08-14,14:02:35.434,-73.6071,18.4513,10.00,mb,4.20
2021-08-14,13:52:25.491,-73.6079,18.4601,10.00,mb,4.30
2021-08-14,13:14:55.567,-73.5007,18.2672,10.00,mb,4.40
