maxamps,distance,station,frequency
5.1782777356626375e-06,1026.5719672983696,PRV,"(0.1, 0.25)"
1.7948625198290344e-06,967.7971146244818,SJC,"(0.1, 0.25)"
1.948815016186043e-06,812.6657090744151,SMAR,"(0.1, 0.25)"
2.7289128286472e-06,761.389556105398,URI,"(0.1, 0.25)"
4.161881072963462e-05,409.3608662095451,GRTK,"(0.1, 0.25)"
7.285193987104904e-05,247.31773605071447,GTBY,"(0.1, 0.25)"
2.6186645619840155e-05,444.2059649860266,MTDJ,"(0.1, 0.25)"
0.00020819548872554923,223.97034452759004,SDDR,"(0.1, 0.25)"
0.00013186499563302165,295.22942813972355,SC01,"(0.1, 0.25)"
5.9528193507593355e-05,361.44963360469444,SDD,"(0.1, 0.25)"
1.034410733674873e-06,1098.8152708496646,SDV,"(0.1, 0.25)"
1.1516028345824053e-05,761.0432727666753,SJG,"(0.1, 0.25)"
1.1598983021507375e-05,761.0432727666753,SJG,"(0.1, 0.25)"
5.518631371762853e-06,1072.8768161119392,SABA,"(0.1, 0.25)"
4.110925982260753e-06,1086.2665230229065,SMRT,"(0.1, 0.25)"
8.886193708875733e-06,713.448183212566,OBIP,"(0.1, 0.25)"
7.167066817254339e-05,523.6322980821316,PCDR,"(0.1, 0.25)"
2.10264339884759e-05,446.9399883383615,SMDR,"(0.1, 0.25)"
5.871406666823326e-05,381.97423496323376,CADR,"(0.1, 0.25)"
4.52656525721836e-05,456.0679933071374,MIDR,"(0.1, 0.25)"
0.0002015395514527392,221.20325619833565,PODR,"(0.1, 0.25)"
0.00013189642265257174,295.22952625543877,SC01,"(0.1, 0.25)"
0.00013534983431934153,324.08920129183457,SODR,"(0.1, 0.25)"
2.515871984791681e-06,1026.5719672983696,PRV,"(0.25, 0.5)"
9.033029426397582e-07,967.7971146244818,SJC,"(0.25, 0.5)"
4.88930174172216e-07,812.6657090744151,SMAR,"(0.25, 0.5)"
7.472448272516182e-07,761.389556105398,URI,"(0.25, 0.5)"
1.843749713979707e-05,409.3608662095451,GRTK,"(0.25, 0.5)"
3.9034305466659955e-05,247.31773605071447,GTBY,"(0.25, 0.5)"
2.9409767813097643e-05,444.2059649860266,MTDJ,"(0.25, 0.5)"
4.85748670251574e-05,223.97034452759004,SDDR,"(0.25, 0.5)"
5.3868479633077334e-05,295.22942813972355,SC01,"(0.25, 0.5)"
3.647182616724003e-05,361.44963360469444,SDD,"(0.25, 0.5)"
9.794846099714778e-07,1098.8152708496646,SDV,"(0.25, 0.5)"
5.012342583174903e-06,761.0432727666753,SJG,"(0.25, 0.5)"
5.046892100056333e-06,761.0432727666753,SJG,"(0.25, 0.5)"
1.3337083303059404e-06,1072.8768161119392,SABA,"(0.25, 0.5)"
9.255763184225438e-07,1086.2665230229065,SMRT,"(0.25, 0.5)"
3.543833971810319e-06,713.448183212566,OBIP,"(0.25, 0.5)"
1.8495617728644297e-05,523.6322980821316,PCDR,"(0.25, 0.5)"
6.0322116882045725e-06,446.9399883383615,SMDR,"(0.25, 0.5)"
3.480729302954215e-05,381.97423496323376,CADR,"(0.25, 0.5)"
1.0824881657993396e-05,456.0679933071374,MIDR,"(0.25, 0.5)"
5.839844304145692e-05,221.20325619833565,PODR,"(0.25, 0.5)"
5.3881043038935014e-05,295.22952625543877,SC01,"(0.25, 0.5)"
