station name,distance,event,location,magnitude of event,type of magnitude,max amplitude,frequency band
PRV,1026.5719672983696,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.1782777356626375e-06,"(0.1, 0.25)"
SJC,967.7971146244818,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.7948625198290344e-06,"(0.1, 0.25)"
SMAR,812.6657090744151,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.948815016186043e-06,"(0.1, 0.25)"
URI,761.389556105398,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.7289128286472e-06,"(0.1, 0.25)"
GRTK,409.3608662095451,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.161881072963462e-05,"(0.1, 0.25)"
GTBY,247.31773605071447,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,7.285193987104904e-05,"(0.1, 0.25)"
MTDJ,444.2059649860266,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.6186645619840155e-05,"(0.1, 0.25)"
SDDR,223.97034452759004,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,0.00020819548872554923,"(0.1, 0.25)"
SC01,295.22942813972355,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,0.00013186499563302165,"(0.1, 0.25)"
SDD,361.44963360469444,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.9528193507593355e-05,"(0.1, 0.25)"
SDV,1098.8152708496646,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.034410733674873e-06,"(0.1, 0.25)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.1516028345824053e-05,"(0.1, 0.25)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.1598983021507375e-05,"(0.1, 0.25)"
SABA,1072.8768161119392,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.518631371762853e-06,"(0.1, 0.25)"
SMRT,1086.2665230229065,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.110925982260753e-06,"(0.1, 0.25)"
OBIP,713.448183212566,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,8.886193708875733e-06,"(0.1, 0.25)"
PCDR,523.6322980821316,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,7.167066817254339e-05,"(0.1, 0.25)"
SMDR,446.9399883383615,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.10264339884759e-05,"(0.1, 0.25)"
CADR,381.97423496323376,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.871406666823326e-05,"(0.1, 0.25)"
MIDR,456.0679933071374,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.52656525721836e-05,"(0.1, 0.25)"
PODR,221.20325619833565,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,0.0002015395514527392,"(0.1, 0.25)"
SC01,295.22952625543877,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,0.00013189642265257174,"(0.1, 0.25)"
