maxamps,distance,station,frequency
1.034410733674873e-06,1098.8152708496646,SDV,"(0.1, 0.25)"
1.1516028345824053e-05,761.0432727666753,SJG,"(0.1, 0.25)"
1.1598983021507375e-05,761.0432727666753,SJG,"(0.1, 0.25)"
9.794846099714778e-07,1098.8152708496646,SDV,"(0.25, 0.5)"
5.012342583174903e-06,761.0432727666753,SJG,"(0.25, 0.5)"
5.046892100056333e-06,761.0432727666753,SJG,"(0.25, 0.5)"
4.119723795278454e-07,1098.8152708496646,SDV,"(0.5, 0.75)"
1.353451771236439e-06,761.0432727666753,SJG,"(0.5, 0.75)"
1.361655984696733e-06,761.0432727666753,SJG,"(0.5, 0.75)"
3.9487981893104176e-07,1098.8152708496646,SDV,"(0.75, 1.0)"
5.378535226003393e-07,761.0432727666753,SJG,"(0.75, 1.0)"
5.396707594901183e-07,761.0432727666753,SJG,"(0.75, 1.0)"
1.9926047379973796e-07,1098.8152708496646,SDV,"(1.0, 1.25)"
2.828457925378041e-07,761.0432727666753,SJG,"(1.0, 1.25)"
2.8400938930529505e-07,761.0432727666753,SJG,"(1.0, 1.25)"
