station name,distance,event,location,magnitude of event,type of magnitude,max amplitude,frequency band
R0306,115.29413075182984,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,7.875057955883475e-05,"(0.1, 0.25)"
R2974,659.8401916784711,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,7.780217509801142e-06,"(0.1, 0.25)"
R34A9,739.0744614695077,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,9.728492242798696e-06,"(0.1, 0.25)"
R4DB9,689.1676771081244,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.5504004555944254e-05,"(0.1, 0.25)"
RA08A,313.7742606488916,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.786651190826938e-05,"(0.1, 0.25)"
RA9CF,752.0785335614584,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,330.30378121037666,"(0.1, 0.25)"
R0306,115.29413075182984,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,0.00012655965937050074,"(0.25, 0.5)"
R2974,659.8401916784711,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,6.306677304437671e-06,"(0.25, 0.5)"
R34A9,739.0744614695077,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,9.47423531854732e-06,"(0.25, 0.5)"
R4DB9,689.1676771081244,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.5464076198994844e-05,"(0.25, 0.5)"
RA08A,313.7742606488916,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,7.429170387265738e-05,"(0.25, 0.5)"
RA9CF,752.0785335614584,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,435.310663978338,"(0.25, 0.5)"
R0306,115.29413075182984,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,0.00011083445073447048,"(0.5, 0.75)"
R2974,659.8401916784711,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.5139251912379434e-06,"(0.5, 0.75)"
R34A9,739.0744614695077,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.924762979015354e-06,"(0.5, 0.75)"
R4DB9,689.1676771081244,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,6.261961484872982e-06,"(0.5, 0.75)"
RA08A,313.7742606488916,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.277843805177989e-05,"(0.5, 0.75)"
RA9CF,752.0785335614584,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,268.10592786274594,"(0.5, 0.75)"
R0306,115.29413075182984,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.628535423603205e-05,"(0.75, 1.0)"
R2974,659.8401916784711,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.5585162989256067e-06,"(0.75, 1.0)"
R34A9,739.0744614695077,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,8.028031290281852e-07,"(0.75, 1.0)"
R4DB9,689.1676771081244,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.2814290839798695e-06,"(0.75, 1.0)"
RA08A,313.7742606488916,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.4421437981562315e-05,"(0.75, 1.0)"
RA9CF,752.0785335614584,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,154.7875514809798,"(0.75, 1.0)"
R0306,115.29413075182984,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.214337662565195e-05,"(1.0, 1.25)"
R2974,659.8401916784711,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.4049293893718945e-07,"(1.0, 1.25)"
R34A9,739.0744614695077,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.412295799733535e-07,"(1.0, 1.25)"
R4DB9,689.1676771081244,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.7477932420574448e-06,"(1.0, 1.25)"
RA08A,313.7742606488916,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,9.183056301441816e-06,"(1.0, 1.25)"
RA9CF,752.0785335614584,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,90.38141058815161,"(1.0, 1.25)"
